Feature,Normalized.Dispersion
ENSRNOG00000020281,1.258736724530351
ENSRNOG00000012362,0.7719220111507166
ENSRNOG00000014303,-0.21813328402015095
ENSRNOG00000018454,-0.5199041653628697
ENSRNOG00000052023,nan
ENSRNOG00000020531,-0.8339890382879911
ENSRNOG00000019544,-0.36605344632773135
ENSRNOG00000033414,nan
ENSRNOG00000023549,nan
ENSRNOG00000021096,0.21229752664424578
ENSRNOG00000022796,0.9017381412784669
ENSRNOG00000029784,0.5654070771404494
ENSRNOG00000018885,-0.9448828986293453
ENSRNOG00000063852,-0.755894039740051
ENSRNOG00000048138,0.11109345630558821
ENSRNOG00000018440,-1.1404956159339021
ENSRNOG00000029082,0.21388656449682533
ENSRNOG00000021104,2.615342772780448
ENSRNOG00000011451,11.310556350327603
ENSRNOG00000017254,-1.639973963353502
ENSRNOG00000020117,-1.4157681812117553
ENSRNOG00000050995,15.798414124957096
ENSRNOG00000054854,nan
ENSRNOG00000015503,nan
ENSRNOG00000021003,-0.3822840224751307
ENSRNOG00000020274,-0.01878046251241098
ENSRNOG00000065528,-1.4322455508897203
ENSRNOG00000058039,-0.10286789495992699
ENSRNOG00000018556,-0.6270104347742048
ENSRNOG00000042741,-2.476255256363569
ENSRNOG00000028137,2.716803075657758
ENSRNOG00000020296,0.3763130870231296
ENSRNOG00000022640,1.1469052903163575
ENSRNOG00000029805,-0.6499899393997172
ENSRNOG00000017601,-1.2712612015494993
ENSRNOG00000027811,1.1007427402884364
ENSRNOG00000016090,-1.4583972188657854
ENSRNOG00000045560,2.267447082595022
ENSRNOG00000049596,-2.346601044591435
ENSRNOG00000020651,-0.12966567797889436
ENSRNOG00000065330,nan
ENSRNOG00000016679,1.1125992809185667
ENSRNOG00000018350,2.88489990828196
ENSRNOG00000019838,2.5567600693999224
ENSRNOG00000068048,nan
ENSRNOG00000019549,1.400074882688261
ENSRNOG00000011151,-0.4730166919859815
ENSRNOG00000022189,-0.8248968541650145
ENSRNOG00000064154,-1.346742638723979
ENSRNOG00000020762,2.9580950880526236
ENSRNOG00000023318,1.1711456657599848
ENSRNOG00000066701,0.16004085062841872
ENSRNOG00000053075,-2.124664356566024
ENSRNOG00000012874,-1.1382419367947774
ENSRNOG00000056069,1.2580077170115036
ENSRNOG00000048424,-0.07634430247795239
ENSRNOG00000024257,-2.618562222491655
ENSRNOG00000065214,5.565259296455797
ENSRNOG00000011895,-0.6513812793787976
ENSRNOG00000017659,-14.127170441798823
ENSRNOG00000020777,1.0459603787225555
ENSRNOG00000016266,1.2919885562375653
ENSRNOG00000017839,0.25808509493899745
ENSRNOG00000020736,-1.2148280927657757
