Feature ID,Feature Name,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSRNOG00000004741,Rpl19,0.021760866214423507,1.6035113371559717e-05,0.00029118140203055794,27222,4.9080443842867885,3949
ENSRNOG00000042867,Cfap97d2,0.02172955396744342,8.474266756541837e-06,0.00016229816842844769,55,0.006737612218948716,48
ENSRNOG00000016047,Macf1,0.021706667468796202,1.6934705880933265e-05,0.0003068101541324944,4615,1.0070880902441632,2559
ENSRNOG00000016281,Col4a1,0.021693394466764986,1.713270427528002e-05,0.0003100409699046655,4124,0.705164277948939,2129
ENSRNOG00000026277,Zc3h6,0.02165434017351449,8.467912538723255e-06,0.00016229816842844769,31,0.003383131545925211,31
ENSRNOG00000021729,Iqub,0.021643434903347726,4.730012471698686e-06,9.449234040420113e-05,47,0.005002591963403391,42
ENSRNOG00000006114,Cfap69,0.02163809242726252,1.3766959962469016e-05,0.00025230978743798953,87,0.010369236569718467,78
ENSRNOG00000024494,AABR07056633.1,0.021624254127392165,1.1135148062058065e-05,0.00020819952995748423,58,0.007540632336623706,53
ENSRNOG00000059900,Bst2,0.02157961612951168,1.8708744431661373e-05,0.0003373995763522272,1255,0.2300130895972399,971
ENSRNOG00000003201,Rps4x,0.021554089911637084,1.935587162682495e-05,0.0003486711412365884,15577,2.7144606396351176,3615
ENSRNOG00000008680,Loxl1,0.021525108902680293,1.979402721974388e-05,0.0003557508062002316,2276,0.3688734732230866,1413
ENSRNOG00000001211,Gatd3a,0.021516026485880253,1.9792217909708754e-05,0.0003557508062002316,1291,0.2091777495169999,983
ENSRNOG00000012196,Asah2,0.021501048528166842,4.483813355937727e-06,8.991586019884282e-05,16,0.003995807041020911,16
ENSRNOG00000059406,Ier5,0.021460322385568786,2.0405183863703158e-05,0.0003659004642317283,776,0.13700763518550862,664
ENSRNOG00000036645,Ifitm6,0.021453267373133925,1.157467689538727e-05,0.00021589111324778348,37,0.007331858851377996,34
ENSRNOG00000011181,Cpa3,0.021436371526894493,6.061194073536669e-06,0.0001192715867504182,32,0.005207195619153118,25
ENSRNOG00000004489,Adgre5,0.021403436666622193,2.2097692079947606e-05,0.0003949022931566147,3765,0.6489720862521517,2029
ENSRNOG00000018413,Per3,0.021368904383561677,7.860243931734345e-06,0.00015145863673838233,20,0.003511072474529321,20
ENSRNOG00000015318,Heyl,0.021291721570203776,2.264255967099338e-05,0.00040418122937055227,266,0.038306744906345516,242
ENSRNOG00000030888,Rela,0.02125864160578637,2.4617969368145864e-05,0.00043795534219042337,859,0.12510531874674324,686
ENSRNOG00000001959,Mx1,0.021163126133000087,2.2881373850092146e-05,0.00040798214324112267,157,0.02470837832649749,140
ENSRNOG00000026403,Naf1,0.02114800010281091,8.87502021851283e-06,0.00016915123178258673,29,0.003898681850515339,29
ENSRNOG00000020717,Bod1,0.02114705193024958,2.4567342400416692e-05,0.00043754853210776037,179,0.031103297741910313,172
ENSRNOG00000025481,Dctn2,0.021079804232804252,2.9111026255579375e-05,0.0005132527917678324,2100,0.33781141787498886,1371
ENSRNOG00000039777,Ttf1,0.02107619078774262,2.165232638251524e-05,0.0003878226914104605,69,0.013190932343635775,68
ENSRNOG00000017601,Srd5a1,0.021064762275007354,2.1974690542325703e-05,0.0003931499118367057,63,0.010025520995602855,63
ENSRNOG00000018207,Dynlt1,0.02106258781227665,2.8777796852175186e-05,0.0005079458387278671,619,0.09318316284324336,502
ENSRNOG00000025001,Pcolce,0.021027573600252047,2.9946295930338707e-05,0.0005273894038592164,741,0.11633358603378967,605
ENSRNOG00000061216,Tubb5,0.020957665419871156,3.24987347171124e-05,0.0005685294745961439,3779,0.6395792927217786,2039
ENSRNOG00000031312,Tnfrsf1a,0.02087759267394452,3.403186727646279e-05,0.0005940313311313471,899,0.1403597074759527,719
ENSRNOG00000064697,ENSRNOG00000064697,0.020857269169674238,8.479092228341756e-08,2.0466684793740086e-06,3,0.000984886997564197,3
ENSRNOG00000010938,Slc7a10,0.020837832497261902,3.498854804417917e-05,0.0006093806566545326,757,0.13327559300110117,598
ENSRNOG00000063855,Cyp2b1,0.020828818464984945,3.630592251258058e-05,0.0006302356284617788,5642,0.8795932971646204,2167
ENSRNOG00000049075,ENSRNOG00000049075,0.020828586189225385,3.619615739736126e-05,0.000629022969015665,2530,0.4368102783791043,1533
ENSRNOG00000019971,Kxd1,0.020752506926089754,3.85617092226731e-05,0.0006671895288339994,25027,4.588952110389295,3933
ENSRNOG00000048701,Rpl38,0.020678739029886744,4.1251407586706534e-05,0.0007098304436481096,9253,1.7342523256045743,3246
ENSRNOG00000068182,ENSRNOG00000068182,0.02066161759868301,1.9182654020788448e-07,4.4464263628774635e-06,10,0.0022062344246844296,10
ENSRNOG00000015865,Ap2s1,0.020660606149682972,4.159087161448305e-05,0.0007148912959514524,1603,0.2684828030176826,1160
ENSRNOG00000020673,Pbxip1,0.02060965837741599,4.276462927577107e-05,0.000732669659396417,833,0.1202165689368317,656
ENSRNOG00000005608,Tead4,0.020600016231061977,2.99855173877539e-05,0.0005274907645823404,47,0.008176961261166371,47
ENSRNOG00000060984,Dnah7,0.02059246887174798,2.7814287115512926e-05,0.0004931482491729075,68,0.008113176646084172,58
ENSRNOG00000063601,Tex33,0.020590004803862732,1.1972438151985898e-07,2.8334770293033293e-06,9,0.0006505950482572245,8
ENSRNOG00000010457,Vash1,0.020587954258229447,3.892401536531587e-05,0.0006727196602939788,163,0.028164376884052534,159
ENSRNOG00000011222,Dynll1,0.020580385811019536,4.4869090445764925e-05,0.0007653967571495094,7095,1.1707802033024128,2717
ENSRNOG00000000815,Smpdl3a,0.020567804488009017,4.345538539540783e-05,0.0007436957487539829,482,0.07774687280369029,390
ENSRNOG00000052232,Cyb561d1,0.02056497487570998,3.008345375121735e-05,0.0005286236321367757,69,0.011835423452564098,69
ENSRNOG00000036758,Iqck,0.020562646100660865,3.0166108260454294e-05,0.0005294857443221388,74,0.008531424842689457,65
ENSRNOG00000055257,Selenof,0.020547755350386773,4.597823578267324e-05,0.0007818123768008798,3070,0.5138954895052694,1795
ENSRNOG00000071062,Ndufa5,0.020543613122697885,4.5980210207741123e-05,0.0007818123768008798,1990,0.34116961143948926,1356
ENSRNOG00000042580,ENSRNOG00000042580,0.020531025243131013,2.8898457027359825e-06,5.900226420534269e-05,7,0.0006637354463907354,6
ENSRNOG00000006048,Ezh2,0.020505521182710536,3.7635110316847076e-05,0.0006518731964990589,95,0.016435555211880743,92
ENSRNOG00000020501,Tjp3,0.020488673596440892,3.703395942888932e-05,0.0006421664120111699,79,0.010247674811697588,72
ENSRNOG00000014272,Rpl35,0.020474021038453607,4.880398259232699e-05,0.0008280391535201916,23459,4.227354390391177,3885
ENSRNOG00000021399,Cfap298,0.020433472727251205,4.8701438009501885e-05,0.0008271897261915611,525,0.07161296106677109,416
ENSRNOG00000028017,Tmem109,0.020421063618978313,5.1101380347695624e-05,0.000861454499508426,2692,0.42523013368829826,1618
ENSRNOG00000010262,Hdc,0.02037984678193027,4.1829631282963575e-05,0.0007182120351656556,101,0.013277473152550573,92
ENSRNOG00000008575,Aoc1,0.020369826319490348,5.2309742777367774e-05,0.0008780683340328763,722,0.1276305750418816,591
ENSRNOG00000008891,Ift20,0.020351712219777343,5.348182322295614e-05,0.0008948837554567246,1035,0.17478335981283585,827
ENSRNOG00000037897,Rps19,0.020347806761671475,5.4421868244114435e-05,0.0009067626715261435,14795,2.6816068797912176,3622
ENSRNOG00000015736,Dhrs3,0.020340975940444674,5.329354828376154e-05,0.000893630753243244,792,0.12607764121754084,643
ENSRNOG00000014961,Pdpn,0.020340758999862027,5.4766261415206685e-05,0.0009111747590838927,3955,0.7047045739049967,2017
ENSRNOG00000010306,H2az1,0.020335033370904122,5.480301968119328e-05,0.0009111747590838927,2178,0.34392045255661197,1373
ENSRNOG00000000520,Srsf3,0.020331648887014518,5.486009683863813e-05,0.0009111747590838927,1733,0.27902425534576075,1237
ENSRNOG00000020573,Efna1,0.020330710032485554,5.1273293252274144e-05,0.0008634291113700268,885,0.17356703354058267,703
ENSRNOG00000024818,Eva1b,0.020326672679245435,5.531981942441533e-05,0.000917843151334352,2796,0.48526151896266134,1706
ENSRNOG00000012749,C1qb,0.020325479482686853,5.369970072122143e-05,0.0008975765458832367,524,0.08809033897278286,440
